                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.83686,                 0.7498,                  1.193,                0.78248,                0.76123,                0.82302,                0.62134,                 1.0173,                0.90552,                 1.3589,               0.006634,               0.006634,               0.006634
                     37,                0.82465,                0.74801,                 1.1909,                 0.8933,                0.82858,                0.86783,                0.64857,                0.99059,                0.69234,                 1.3317,               0.006535,               0.006535,               0.006535
                     38,                0.81771,                0.73672,                 1.1795,                0.92442,                0.86097,                0.95435,                0.73662,                0.85109,                0.59322,                 1.1713,               0.006436,               0.006436,               0.006436
                     39,                0.80611,                   0.71,                 1.1761,                0.87338,                0.84238,                0.90185,                0.70671,                0.77165,                0.62091,                 1.1473,               0.006337,               0.006337,               0.006337
                     40,                0.80998,                0.71708,                 1.1683,                0.85517,                0.79646,                0.90433,                0.70457,                0.82229,                0.56822,                 1.2081,               0.006238,               0.006238,               0.006238
                     41,                0.80615,                0.66355,                 1.1842,                0.87512,                0.89041,                0.90916,                0.72101,                0.74349,                0.55328,                 1.1074,               0.006139,               0.006139,               0.006139
                     42,                0.79693,                0.70209,                  1.166,                0.92501,                0.86395,                0.93379,                0.74687,                0.75129,                0.55486,                 1.1241,                0.00604,                0.00604,                0.00604
                     43,                0.77515,                0.66424,                 1.1487,                0.86723,                0.85766,                0.89961,                 0.7134,                0.74862,                0.60227,                 1.1372,               0.005941,               0.005941,               0.005941
                     44,                0.78348,                0.67056,                 1.1479,                0.90436,                0.86052,                0.89646,                0.70996,                0.81898,                0.64446,                 1.1953,               0.005842,               0.005842,               0.005842
                     45,                0.78896,                0.68091,                 1.1542,                0.89606,                0.88224,                0.90288,                 0.7186,                 0.8918,                0.62515,                 1.2483,               0.005743,               0.005743,               0.005743
                     46,                0.77268,                0.66585,                 1.1405,                0.86673,                0.86939,                0.90275,                0.71768,                 0.8361,                 0.6147,                 1.1748,               0.005644,               0.005644,               0.005644
                     47,                 0.7633,                0.64183,                 1.1401,                0.88186,                0.91168,                0.91584,                0.73963,                0.81605,                0.62845,                 1.1405,               0.005545,               0.005545,               0.005545
